RECEIVABLES,TOTAL,BUCKET_1,BUCKET_2,BUCKET_3,BUCKET_4,BUCKET_5,BUCKET_6,BUCKET_6M,BUCKET_1Y,BUCKET_2Y,BUCKET_3Y,BUCKET_4Y,BUCKET_W
OCT-2023,9262702,6227594,981912,252797,96420,42176,24297,163694,216616,409949,67505,779743,1637507
NOV-2023,7872504,5823693,734610,219365,53422,118237,38056,133425,181188,113253,64825,392428,885119
DEC-2023,7884673,5851080,719806,118584,140741,177633,81953,70766,99779,127839,3000,493491,794876
JAN-2024,8118657,6204062,745012,131276,61804,52062,18648,80769,210466,88104,167613,358843,905794
FEB-2024,8071229,5995940,667280,162250,130892,54767,40299,86613,189343,290995,56786,396065,1019801
MAR-2024,8402081,6223830,491656,110285,87356,52981,19611,229144,180779,483533,60395,462511,1416362
APR-2024,8146403,5910391,686097,140238,57618,20466,16276,289437,101562,148775,155911,619635,1315319
MAY-2024,7788849,5180921,536429,302193,108029,102587,85523,228977,173985,16563,125399,928243,1473167
JUN-2024,7091768,5377877,247262,128596,91503,31916,62286,219484,202731,36507,64604,629002,1152328
JUL-2024,8768366,6568003,518349,187367,140676,99972,80238,518151,179435,3654,156792,315730,1173761
AUG-2024,7640522,5759925,290313,136961,151294,69005,61932,791795,118216,43752,0,217329,1171093
SEP-2024,3429019,1726652,402423,246454,141461,16523,184466,474589,122870,21707,0,91874,711041
OCT-2024,8254256,6496635,477381,148691,112583,85102,89219,460811,157463,21307,0,26371,844645
NOV-2024,6656275,4852372,329212,79028,98558,90581,73048,555319,85894,12061,0,480202,1133476
DEC-2024,8342652,6514981,501988,141303,98053,71696,62080,476258,68168,43889,0,364236,952552
